GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
waffle-tomcat6,waffle.apache,WaffleAuthenticatorBase,91,112,6,2,20,30,5,13,2,12
waffle-tomcat6,waffle.apache,MixedAuthenticator,92,422,16,26,19,93,13,15,0,7
waffle-tomcat6,waffle.apache,NegotiateAuthenticator,58,258,12,14,13,59,10,7,0,4
waffle-tomcat6,waffle.apache,GenericWindowsPrincipal.new Object() {...},4,29,0,0,0,1,0,1,0,1
waffle-tomcat6,waffle.apache,GenericWindowsPrincipal,36,141,8,6,12,28,8,11,0,9
waffle-tomcat6,waffle.apache,WindowsRealm,0,9,0,0,0,4,0,4,0,4
