GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
waffle-spring-security2,waffle.spring,NegotiateSecurityFilter,53,208,3,11,17,61,9,19,6,15
waffle-spring-security2,waffle.spring,WindowsAuthenticationProvider,14,147,1,3,4,44,5,17,4,16
waffle-spring-security2,waffle.spring,WindowsAuthenticationToken,1,90,1,5,0,22,1,12,0,10
waffle-spring-security2,waffle.spring,FqnGrantedAuthorityFactory,0,36,0,4,0,10,0,4,0,2
waffle-spring-security2,waffle.spring,NegotiateSecurityFilterEntryPoint,0,45,0,2,0,16,0,6,0,5
waffle-spring-security2,waffle.spring,GuestLoginDisabledAuthenticationException,0,4,0,0,0,2,0,1,0,1
