GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
waffle-distro/waffle-jna,waffle.servlet.spi,NegotiateSecurityFilterProvider,259,0,24,0,64,0,21,0,9,0
waffle-distro/waffle-jna,waffle.servlet.spi,BasicSecurityFilterProvider,97,0,4,0,23,0,11,0,9,0
waffle-distro/waffle-jna,waffle.servlet.spi,SecurityFilterProviderCollection,272,0,22,0,55,0,22,0,11,0
waffle-distro/waffle-jna,waffle.util.cache,Cache,27,0,2,0,7,0,2,0,1,0
waffle-distro/waffle-jna,waffle.util.cache,CaffeineCacheSupplier,8,0,0,0,2,0,2,0,2,0
waffle-distro/waffle-jna,waffle.util.cache,CaffeineCache,34,0,0,0,9,0,5,0,5,0
waffle-distro/waffle-jna,waffle.servlet,WindowsPrincipal,220,0,16,0,53,0,26,0,16,0
waffle-distro/waffle-jna,waffle.servlet,NegotiateRequestWrapper,21,0,0,0,7,0,5,0,5,0
waffle-distro/waffle-jna,waffle.servlet,NegotiateSecurityFilter,786,0,93,0,207,0,69,0,18,0
waffle-distro/waffle-jna,waffle.servlet,WaffleInfoServlet,214,0,10,0,54,0,11,0,6,0
waffle-distro/waffle-jna,waffle.servlet,AutoDisposableWindowsPrincipal,18,0,2,0,8,0,5,0,4,0
waffle-distro/waffle-jna,waffle.servlet,CorsAwareNegotiateSecurityFilter,71,0,4,0,27,0,7,0,5,0
waffle-distro/waffle-jna,waffle.jaas,UserPrincipal,30,0,4,0,10,0,6,0,4,0
waffle-distro/waffle-jna,waffle.jaas,WindowsLoginModule,439,0,41,0,103,0,37,0,14,0
waffle-distro/waffle-jna,waffle.jaas,RolePrincipal,30,0,4,0,10,0,6,0,4,0
waffle-distro/waffle-jna,waffle.util,WaffleInfo,546,0,27,0,132,0,23,0,9,0
waffle-distro/waffle-jna,waffle.util,NtlmMessage,69,0,8,0,8,0,7,0,3,0
waffle-distro/waffle-jna,waffle.util,AuthorizationHeader,171,0,32,0,38,0,28,0,12,0
waffle-distro/waffle-jna,waffle.util,NtlmServletRequest,31,0,4,0,3,0,4,0,2,0
waffle-distro/waffle-jna,waffle.util,CorsPreFlightCheck,84,0,12,0,22,0,8,0,2,0
waffle-distro/waffle-jna,waffle.util,SPNegoMessage,165,0,26,0,28,0,16,0,3,0
