GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
waffle-tomcat85,waffle.apache,WaffleAuthenticatorBase,102,201,6,8,27,47,8,19,5,15
waffle-tomcat85,waffle.apache,WindowsRealm,2,7,0,0,1,3,1,3,1,3
waffle-tomcat85,waffle.apache,MixedAuthenticator,110,412,18,30,25,98,16,16,1,7
waffle-tomcat85,waffle.apache,NegotiateAuthenticator,83,234,12,14,20,57,11,7,1,4
waffle-tomcat85,waffle.apache,GenericWindowsPrincipal,22,151,3,9,6,33,4,13,1,8
