GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
waffle-spring-security3,waffle.spring,DelegatingNegotiateSecurityFilter,218,0,10,0,59,0,19,0,14,0
waffle-spring-security3,waffle.spring,NegotiateSecurityFilter,48,215,4,12,16,65,8,20,4,16
waffle-spring-security3,waffle.spring,FqnGrantedAuthorityFactory,0,36,0,4,0,10,0,4,0,2
waffle-spring-security3,waffle.spring,WindowsAuthenticationToken,2,80,1,5,0,21,1,12,0,10
waffle-spring-security3,waffle.spring,WindowsAuthenticationProvider,6,145,1,3,2,45,3,17,2,16
waffle-spring-security3,waffle.spring,NegotiateSecurityFilterEntryPoint,0,42,0,2,0,15,0,6,0,5
waffle-spring-security3,waffle.spring,GuestLoginDisabledAuthenticationException,0,4,0,0,0,2,0,1,0,1
