GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
waffle-spring-security5,waffle.spring,NegotiateSecurityFilter,71,231,9,15,24,68,14,20,6,16
waffle-spring-security5,waffle.spring,WindowsAuthenticationProvider,14,146,1,3,4,43,3,17,2,16
waffle-spring-security5,waffle.spring,WindowsAuthenticationToken,1,81,1,5,0,20,1,12,0,10
waffle-spring-security5,waffle.spring,DelegatingNegotiateSecurityFilter,128,60,5,5,49,24,9,10,6,8
waffle-spring-security5,waffle.spring,FqnGrantedAuthorityFactory,0,36,0,4,0,10,0,4,0,2
waffle-spring-security5,waffle.spring,NegotiateSecurityFilterEntryPoint,0,42,0,2,0,15,0,6,0,5
waffle-spring-security5,waffle.spring,GuestLoginDisabledAuthenticationException,0,4,0,0,0,2,0,1,0,1
